a.                                                                                're                   {1:356}
b.                                                                                's                    {30:16,112,138,163,165,192,254,295,297,321,339,343,346,354,357,357,422,423,434,436,437,453,460,505,523,551,600,602,675,677}
c.                                                                                -their                {1:36}
d.                                                                                .mansions             {1:270}
e.                                                                                0                     {4:117,135,206,423}
f.                                                                                0.05                  {1:485}
g.                                                                                0.06                  {1:485}
h.                                                                                0.15                  {1:485}
i.                                                                                0.19                  {1:485}
j.                                                                                0.55                  {1:485}
k.                                                                                00                    {1:161}
l.                                                                                1                     {3:1,74,253}
m.                                                                                1,000                 {1:515}
n.                                                                                1.6                   {1:212}
o.                                                                                10                    {4:134,201,209,209}
p.                                                                                100                   {1:208}
q.                                                                                1000                  {1:149}
r.                                                                                100x50x30             {1:209}
s.                                                                                1010                  {1:583}
t.                                                                                1015                  {1:583}
u.                                                                                104                   {1:532}
v.                                                                                105621                {1:46}
w.                                                                                107                   {1:587}
x.                                                                                109                   {3:243,585,586}
y.                                                                                11                    {1:423}
z.                                                                                11th                  {1:586}
aa.                                                                               120                   {1:182}
bb.                                                                               1280                  {1:214}
cc.                                                                               13                    {1:275}
dd.                                                                               130                   {1:531}
ee.                                                                               15                    {1:55}
ff.                                                                               150,000               {1:209}
gg.                                                                               165,000               {2:201,212}
hh.                                                                               17                    {1:131}
ii.                                                                               174,380               {1:215}
jj.                                                                               1828                  {1:159}
kk.                                                                               1839                  {1:159}
ll.                                                                               1842                  {1:437}
mm.                                                                               1931                  {1:295}
nn.                                                                               1935                  {1:296}
oo.                                                                               1936                  {1:296}
pp.                                                                               1937                  {1:296}
qq.                                                                               1949                  {2:321,440}
rr.                                                                               2                     {4:29,201,278,586}
ss.                                                                               200                   {1:688}
tt.                                                                               22                    {1:434}
uu.                                                                               23                    {1:683}
vv.                                                                               24                    {1:683}
ww.                                                                               2560                  {1:214}
xx.                                                                               3                     {2:72,293}
yy.                                                                               3.12                  {1:485}
zz.                                                                               3.13                  {1:485}
aaa.                                                                              3.14                  {1:485}
bbb.                                                                              3.1416                {1:485}
ccc.                                                                              3.15                  {1:485}
ddd.                                                                              3.16                  {1:485}
eee.                                                                              30                    {2:46,208}
fff.                                                                              300                   {1:215}
ggg.                                                                              34957                 {1:44}
hhh.                                                                              3540675445            {1:117}
iii.                                                                              4                     {2:99,319}
jjj.                                                                              400                   {1:531}
kkk.                                                                              40x                   {1:423}
lll.                                                                              4302                  {1:127}
mmm.                                                                              4505                  {1:135}
nnn.                                                                              5                     {3:172,275,368}
ooo.                                                                              50                    {2:208,688}
ppp.                                                                              50,000                {1:201}
qqq.                                                                              51                    {1:688}
rrr.                                                                              52                    {1:688}
sss.                                                                              5606                  {1:135}
ttt.                                                                              6                     {2:236,436}
uuu.                                                                              64                    {1:214}
vvv.                                                                              6707                  {1:135}
www.                                                                              6809                  {1:127}
xxx.                                                                              6809430217            {1:130}
yyy.                                                                              7                     {2:473,545}
zzz.                                                                              70                    {1:243}
aaaa.                                                                             7076345687            {1:117}
bbbb.                                                                             70764                 {1:44}
cccc.                                                                             8)                    {1:488}
dddd.                                                                             9                     {2:206,517}
eeee.                                                                             =                     {5:418,423,615,616,616}
